,0
814,punkt opatrunkowy
815,łono
816,sam
817,ślepe źródło
818,dok pływający
819,bacówka
820,urząd pracy
821,region nodalny
822,biegun ciepła
823,dyrekcja
824,redakcja
825,sobótka
826,misja
827,posterunek ruchu
828,krater uderzeniowy
829,market budowlany
830,klub-kawiarnia
831,stanowisko
832,ognisko wulkaniczne
833,kościół ścienno-filarowy
834,basen sedymentacyjny
835,pedet
836,kantorat
837,kurzeń
838,budynek
839,kampong
840,lodowisko
841,punkt libracyjny
842,słownik
843,cerkiew łemkowska
844,zbór
845,pole minowe
846,ogrojec
847,placówka oświatowo-wychowawcza
848,dom obłąkanych
849,wioska tematyczna
850,stacja benzynowa
851,kraina historyczna
852,indycznik
853,superkontynent
854,ministerstwo środowiska
855,dylina
856,parking rowerowy
857,komisariat
858,węzeł potrójny
859,monopteros
860,strzelnica
861,kantor
862,wariatkowo
863,ganek
864,delikatesy
865,francuski ogród regularny
866,punkt odniesienia
867,młyn zbożowy
868,lagier
869,wyspa barierowa
870,przedszkole
871,pole namiotowe
872,glorietta
873,ścianka wspinaczkowa
874,arena
875,siłownia jądrowa
876,bazylika archikatedralna
877,minbar
878,posterunek
879,sztab
880,poligon
881,delina
882,kolektura
883,brodzik
884,panopticum
885,silos
886,przyczółek mostowy
887,centrum nadawcze
888,widlica
889,ostoja
890,nora
891,węzeł komunikacyjny
892,mnożarnia
893,wyrwa
894,stały ląd
895,monopol
896,placówka opiekuńczo-wychowawcza
897,attachat
898,stadion
899,księgarnia
900,śliwnik
901,spichrz
902,mieszkanie kwaterunkowe
903,okolnica
904,oratorium
905,borowisko
906,ryżowisko
907,gniazdo
908,miasteczko
909,belweder
910,kingston
911,obserwatorium astronomiczne
912,fundum
913,trafika
914,rotunda
915,punkt równonocny
916,palmiarnia
917,jurydyka
918,klinika
919,templum
920,oranżeria
921,jatka
922,ciepłownia geotermalna
923,uzdrowisko
924,wieś
925,szkoła
926,dipteros
927,skocznia
928,obuwniczy 
929,kawalerka
930,cukierenka
931,hydroelektrownia
932,skjer
933,atrium
934,sodowiarnia
935,tabor
936,jęczmienisko
937,papierniczy
938,lecznica
939,gimnazjum
940,noclegownia
941,mieścina
942,ambulatorium
943,przemysłówka
944,betonka
945,cerkiew bojkowska
946,kosmetyczka
947,zagłębie
948,przedgrodzie
949,leprozorium
950,dworek
951,najda
952,ogród renesansowy
953,tysiąclatka
954,basen oceaniczny
955,plac ratuszowy
956,spopielarnia
957,aneks kuchenny
958,skup makulatury
959,pałanka
960,monopter
961,zapadły kąt
962,Bizancjum
963,odryna
964,second-hand
965,skup
966,stauropigia
967,adyton
968,perystyl
969,przybytek
970,centrum urazowe
971,wypożyczalnia wideo
972,punkt
973,patio
974,smatruz
975,ekspozytura
976,uniwerek
977,ogródek
978,lokacja
979,wielodrożnica
980,faktoria
981,półinternat
982,opera
983,proseminarium
984,warzywnik
985,rewir
986,warchlakarnia
987,Namiot Spotkania
988,uniwersytet
989,teatr muzyczny
990,jazz-klub
991,kraal
992,wozownia
993,autokomis
994,elewator zbożowy
995,matecznik
996,basen naftowy
997,chana
998,powiatówka
999,dikka
1000,radio taxi
1001,alpinarium
1002,liceum
1003,cheder
1004,parlament
1005,elektrownia maretermiczna
1006,dom katechetyczny
1007,stajanie
1008,agencja
1009,kino
1010,fotoplastykon
1011,powozownia
1012,stacja obsługiwana
1013,poczta
1014,lazaret
1015,solarka
1016,świątynia
1017,fotogaleria
1018,zigurat
1019,oparzelisko
1020,schronisko młodzieżowe
1021,kino samochodowe
1022,pustostan
1023,wihara
1024,niwa
1025,pikieta
1026,condo hotel
1027,sukiennice
1028,żłobkoprzedszkole
1029,łono Abrahama
1030,lumpex
1031,przesmyk
1032,wyłom
1033,adres
1034,punkt apteczny
1035,grunt porolny
1036,oddział
1037,szpitalik
1038,remiza śródpolna
1039,palestra
1040,bulanżeria
1041,trójstyk
1042,katedra
1043,kircha
